feature,importance
ASTV,0.13363951551988226
ALTV,0.13149077458404512
Mean,0.09323856831344374
MSTV,0.07848819415441331
Median,0.07676988371403021
DP,0.06139935178588135
AC,0.06065594196601204
MLTV,0.055654435918004674
Mode,0.053375385812654885
Variance,0.045517961323396715
LB,0.04237320835787942
Width,0.03158424031356688
Min,0.030704750797562838
Max,0.026234678085445072
UC,0.02380405832093974
FM,0.019135488454588165
Nmax,0.015259973786215788
DL,0.01052277761718439
Tendency,0.00688878776866651
Nzeros,0.002532863396164722
DS,0.0007291600100221811
